,job_title,company_name,location,salary,position,job_desc
0,Pricing Manager - Planning and Analytics,American Express,Sydney NSW,none,"Full-time, Part-time","Sydney NSWFull-time, Part-timeThe Global Merchant Pricing (GMP) team is responsible for the single largest source of American Express’ revenue: Merchant discount revenue. The team works closely with multiple business partners to determine the ideal pricing structure to encourage merchant acceptance of American Express, while striving to improve coverage and merchant satisfaction. Ultimately, we drive merchant revenue and profit growth through customer-centric pricing principles, more flexible pricing architecture and innovative pricing solutions.

The Manager of Merchant Pricing – Planning and Analytics is responsible for the day to day management of the Discount Rate Analytics and Insights. This person will work closely with the Pricing Managers and Global Merchant Services business both in Japan, Asia Pacific, Australia and New Zealand (JAPA) and across the globe.

Responsibilities include:
Own the end-to-end Discount Rate Planning and Analysis including; monthly reporting and analytics, Annual Forecast, Risk and Opportunities tracking and Long Range Plan.
Develop detailed review of the drivers of discount revenue and rate variances changes and develop meaningful insights for senior leadership including trend analysis and predictive modelling.
Quickly and accurately model the outcomes of key industry and merchants behaviors using large account-level data sets
Manage the ongoing risks and opportunities analysis identifying key relationships and tools.
Work cross-functionally to source benchmarks or data for key assumptions; quickly learn relevant information and incorporate into analysis.
Lead and contribute to continuous improvement by expanding on reporting capabilities through automation, consolidation of metrics / parameters, incorporating intuitive analysis and recommendation by leveraging information using different tools to create reporting solutions for key business partners.
Support projects to develop relevant reporting and insights critical to pricing initiatives from ideation through to initiative measurement.
Collaborate across teams to drive optimal output and deliver efficient reporting and analytical capabilities through best in class Analytics and Reporting solutions for the GMP team.
Minimum Qualifications
Ability to articulate complex ideas with brevity, simplicity and impact
Confidence to ask questions, develop a point of view, and voice an opinion in meetings with senior executives
Natural strategic mindset or “business intuition” – ability to step back from the numbers and consider the analysis from multiple points of view
Strong relationship management skills with a proven track of positively collaborating and influencing internal and external partners
Strong understanding of card economics
Flexibility to function in a fast-paced environment, while bringing a positive energy to the team
Quantitatively oriented and very numerate – comfortable with thinking through the “quick math”
Problem solving, planning and analytical skills to facilitate and focus on continuous improvement and innovation.
Previous management of end-to-end planning and forecasting processes highly regarded
Advanced level of proficiency in Excel and PowerPoint
Intermediate SAS and/or SQL
MBA or related graduate degree preferred
Offer of employment with American Express is conditioned upon the successful completion of a background verification check, subject to applicable laws and regulations.

Why American Express?

There’s a difference between having a job and making a difference.

American Express has been making a difference in people’s lives for over 160 years, backing them in moments big and small, granting access, tools, and resources to take on their biggest challenges and reap the greatest rewards.

We’ve also made a difference in the lives of our people, providing a culture of learning and collaboration, and helping them with what they need to succeed and thrive. We have their backs as they grow their skills, conquer new challenges, or even take time to spend with their family or community. And when they’re ready to take on a new career path, we’re right there with them, giving them the guidance and momentum into the best future they envision.

Because we believe that the best way to back our customers is to back our people.

The powerful backing of American Express.
Don’t make a difference without it.
Don’t live life without it.


ReqID: 20002432
Schedule (Full-Time/Part-Time): Full-time
Date Posted: Feb 13, 2020, 9:37:58 AM"
1,Data Analyst,Westpac Group,Parramatta NSW,,,"Parramatta NSWHow Will I Help?

As a Business Efficiency Analyst your primary goal is to help the teams within Business & Everyday Banking (BEB) best utilise and understand their data. You will be accountable for the design, build and implementation of operational reporting, analytics and tactical solutions that support operational excellence and continuous improvement initiatives for the production teams with Business & Everyday Banking (BEB).

This position exists to support all teams across BEB with the daily operations across multifunctional tasks located onshore and offshore.

What is in it for me?

In a word, lots! You’ll be working for an organisation that supports development, internal career moves and flexible working. This role gives you the chance to figure out the best solution to solve the customer’s problem and the freedom to go and build a solution yourself, it can be very rewarding for a technically capable person who enjoys learning how to do new things.

Along with competitive salary, you’ll be trained so your career can grow as you do, you’ll receive Westpac’s generous benefits and a whole array of customer discounts!

Not to mention the added perk of working for a team that has been around for over 200 years dedicated to helping Australians realise the great Australian dream.

What do I need?
The ability to obtain, process and provide insights into large datasets
Data extraction skills in SQL is key, experience with Python and/or SAS is desirable
Proficiency in Tableau or an equivalent data visualisation tool
Proven knowledge of Access Databases and VBA is desirable
Sound knowledge of banking products/finance service industry desirable
Critical/Analytical thinking
Well-developed written and verbal communication
Ability to source and understand Business Requirements directly from Business Stakeholders
Excellent time management skills
Ability to meet key performance indicators and to meet deadlines
Ability to learn multiple banking systems, procedures and operate efficiently across platforms
Ability to work in a structured environment
Open to challenges and volunteering to support business activities
What is it like to work there?

You’ll join one big, supportive team to reach our vision to become one of the world’s greatest service companies.

Working with us you'll discover new ways of working, and an exciting range of roles to showcase your skills. Think inspiring locations, flexible work spaces and unexpected careers.

As an equal opportunity employer, we celebrate difference and love having a diverse and inclusive workplace


Brand : Westpac Group
Job : Support and Operations
Primary Location : AU-NSW-Parramatta
Employee Status : Permanent
Schedule : Full-time
Recruiter : Rebecca Lewis
Posting Date : 12/02/2020, 10:11:01 PM
Closing Date : 27/02/2020, 6:59:00 AM"
2,Data Engineer | Azure | SQL | BI | AI,Insight,Perth WA,,,"Perth WARolling contract - 6 month +
Work with cutting edge MS technologies
Fantastic contract rate $$$


Come work for Insight !! Recently awarded 11th Best company to work for in Australia !!


Insight Perth is looking for an Azure Data Engineer to join our skilled and dedicated team.

If you’re passionate about pushing the limits of Microsoft technologies and thrive in an organization with real passion for teamwork, business and changing things for the better, then this is the role for you!

Role:

You will be working on a highly complex project for one of Australia’s leading companies in their field, all while developing your own career

As a Data Engineer at Insight you will:
Design and build modern data pipelines and data streams
Expose data to end users using Power BI, Azure API Apps or other modern visualization platforms
Analyze current business practices, processes and procedures and identify future opportunities for leveraging Microsoft Azure data & analytics services.
Support the planning and implementation of data platform services including sizing, configuration, and needs assessment
Implement effective metrics and monitoring processes
Quliafications:
Minimum 4-5 years of experience with ETL tools, Data Warehouse, SQL, SSAS & T-SQL
Experience with data visualization using Power BI, SAS VA, and Power Pivot
Tabular models (DAX) in Visual Studio
Strong in data Governance, including Master Data Management (MDM) and Data Quality tools and processes
Experience with one or more of these technologies would be a benefit:
Python
R
.NET
C#
Azure
Why Insight?

This is an excellent opportunity to be part of, and drive, the future direction of Insight. We offer a competitive remuneration package and excellent benefits, with the chance to work in a rewarding environment and with a high level of autonomy and creativity.

If you feel you have the right skills and experience for the role then please apply now to secure your interview spot today!"
3,Technical Business Analyst,Bendigo & Adelaide Bank,Melbourne VIC,,,"Melbourne VICOur Purpose is the same today as it was when we were founded 160 years ago, and every day, we work hard to bring our company purpose to life; feeding into the success of our customers and communities and not off it.

We live and breathe our core values of Teamwork, Integrity, Performance, Passion, Leadership and Engagement.

Within the Data Domain the Business Analyst will play a key part in the Open Banking squad. The Business Analyst will collaborate with various stakeholders and customer experience solutions owners to elicit and validate needs and requirements for changes to business processes, policies and information systems.

You will be passionate about understanding business problems and identifying opportunities that can be translated into user stories to enable the organisation to achieve its objectives.


As the Business Analyst, you'll:

Work with various stakeholders to understand their needs and to deliver a positive customer experience
Produce epics, features, and user stories documentation
Conduct in-depth analysis and reporting
Regularly showcase current solution iterations to stakeholder groups
Participate in and support Initiative discovery activities as required
Participate & facilitate agile ceremonies and follow the agile principles and practices
Work with the squad resources to complete and implement system functionality
Identify and quantify continuous improvement across the Data Assets and systems


As the ideal candidate, you will have:

Well-developed collaboration, writing and presentation skills using standard industry techniques.
Passion for designing and analysing information
Strong written and verbal communication skills with the ability to build relationships with all levels of the business.
Innovative approach to and professional focus on the implementation of continuous improvement.
Understanding of key Agile principles, values and practices an advantage
Knowledge and experience of Business Intelligence and BI tools SQL scripting knowledge
Experience with cloud hosted solutions
Strong knowledge and passion in Banking, Finance or Wealth industry


A career with Bendigo and Adelaide Bank will see you become part of the team, your contribution will be valued, and you’ll get all the assistance you need to reach your full potential and achieve your objectives.

We also support flexible work arrangements, so talk to us about how this role could be made flexible so you can better balance your individual needs

If you’re excited to be part of an organisation with strong values and a community focus - then this could be the role for you! . To find out more about working at Bendigo and Adelaide Bank or to view other opportunities visit www.bendigoadelaide.com.au/careers"
4,Data Analyst,Bluefin Resources,Sydney NSW,$350 - $400 a day,Contract,"Sydney NSWContract$350 - $400 a dayFinancial Services Client
Data analysis , QA and reporting
Short term contract role
My client is a leading Financial Services client based in Sydney CBD and is currently looking to hire a Data Analyst for a shiort term contract to support a remediation project.


Accountabilities;

Data manipulation, extraction, interrogation and analysis using SQL and Excel
Creating meaningful reports and insights to support remediation work

Experience;

Tertiary qualified
Minimum of 12 months commerical experience
Proven experience in using SQL to interogate and manipulate data

Please apply on line to indicate your interest in the role.

IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.

http://www.bluefinresources.com.au/privacy-policy
BBBH38629_158156758623658"
5,data engineer,Randstad,Melbourne VIC,none,Temporary,"Melbourne VICTemporaryData Engineer
We are looking for a Data engineer for an initial 6 month contract based in the CBD. You will be working as part of a growing team on some interesting projects with a leading, global organisation.
We are looking for people with experience in the following
Hadoop

Streaming or FlinkAPI and cloud-native architectureDocker, KubernetesExpertise in programming (e.g. Core Java, Python and Scala programming)Excellent analytical skills and proven track record solving difficult problemsExperienced in Agile / Scrum projectsDesign, develop and implement solutions to customers organisational problemsProvide high quality service delivery on engagementsExperience with design and developing data reconciliation & metadata driven data processing frameworks.
This role will be moving very quickly and we are looking for people who can ideally start within the next 2 weeks.
If you would be interested in hearing more please submit your resume using the link below
At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background."
6,Marketing Automation Specialist,Jetstar AU,Melbourne VIC,,,"Melbourne VICLocation: Melbourne, Australia

Work Type: Permanent Full Time

2 permanent roles availableBased in our Collingwood officeAdvertising closes 23rd February
Jetstar thrives on innovation! We are always looking to employ ambitious and proactive professionals to help our business work smarter and more efficiently. You will be encouraged to think innovatively whilst developing and maintaining best practice.
The Digital Marketing team forms the foundation (in terms of technology, data and process) and customer frameworks and delivers on the implementation of complex multi-touch point, multi-channel digital marketing programs.
These roles are very hands on coordinating the implementation, maintenance and optimisation of multiple Customer Lifecycle marketing campaigns to drive additional revenue and operational benefits to Jetstar. The roles have a global remit, spanning across Australia/NZ, South East Asia, Japan, Vietnam and Greater China and will involve travel.

Key responsibilities of this role include:
Working with the digital marketing team to execute and influence campaigns that support the customer journey and drive incremental revenue (Including onsite testing, email, app and SMS)Assist in developing the post booking customer lifecycle strategy for multiple customer segments and regions in APACWorking with the customer care team to implement customer strategy across different digital touchpointsSupporting regional teams with campaign launches and optimisations in the post booking customer journeySupport the end to end campaign process from creative, execution and post-analysis of triggered lifecycle marketing campaigns.Coordinate and implement campaign content change requests with various stakeholdersWork with a wide variety of stakeholders across digital, commercial systems, ancillary revenue and customer care to implement campaigns and programs that drive incremental revenue and an improved customer experience.
To be successful in this role, you will demonstrate the following skills & experience:
Marketing or business qualification1-2 years digital marketing experienceUnderstanding of customer strategy and how to interpret results from analyticsStrong understanding of CRM and ESP system capabilityExperience in using Google Analytics, Adobe Omniture or other reporting toolsUnderstanding of programming languages: HTML and CSS is a must, SQL and Javascript favourableMust be proficient with MS Office suiteHighly motivated and able to deal with multiple time sensitive tasks.Good understanding of marketing technology and data infrastructureAnalytically focussed with excellent attention to detail.

About Us
The Jetstar Group has airlines in Australia, New Zealand, Singapore, Japan and Vietnam. Since launch in 2004, we have grown from a team of 700 to 7,600 and have flown more than 250 million passengers. Collectively we now offer more than 5000 flights a week to more than 85 destinations in 17 countries and territories across the Asia Pacific region, with a fleet of more than 130 aircraft.

Our Culture
Jetstar is alive with a sense of adventure. Day in and day out, our teams search for new places to fly, new ways to add value and new ideas to improve performance. If you love the road less travelled, you’ll love working here because ours is a team who innovate every day, thrive on delivery, support each other and celebrate our successes. You’ll be supported to challenge, anticipate and explore while you work will connect people and enrich lives. We encourage diversity and aim to create an environment where our employees feel valued, respected and enabled.

Our Benefits
Team members have access to heavily discounted fares to destinations all over the world – not only for team members, but for their favourite travel companions too. Our staff travel benefit includes discounts on airfares, accommodation, car hire and travel insurance for both domestic and international travel. Discounts can be used within the Jetstar Group airlines, Qantas and other partner airlines. We also have multiple employee incentives that you may have the opportunity be included in, including our bonus remuneration, ability earn credit leave, and chance to purchase leave. Wellbeing and flexibility benefits including working arrangements, three months of paid parental leave for the primary career at full pay, access to discounted fitness programs, plus a whole bunch more.
Reference Number: R67306

Contact Details:

Company: Jetstar

Date Posted: 13/02/2020 2:40:00 PM"
7,Martech Analyst,Betfair,Melbourne VIC,"$100,000 a year",,"Melbourne VIC$100,000 a yearCan you believe we are half way through February and you have already pretty much blown all of your New Year’s Resolutions? But, just maybe there is still one on your list that you can achieve? You know that whole ‘next year I’m going to get myself the best new role I possibly can’ one? And you are hoping that role is specifically in sport and/or racing, provides you with more personal growth, a better organisational culture to work in and some incredibly cool initiatives under your remit?
Well meet Betfair. We have a team full of passionate energetic great people. Being a strong data-driven business; using cutting edge and digital innovative marketing technology, we service a sophisticated customer base, offering a different way for punters to engage with racing and sport! We live and breathe innovation, sport and advanced thinking in our ‘every day’. We work on incredible projects that will stretch and challenge you. Yes, work can be that good…
Now to help you tick off this resolution and put you on your path to your dream role, we should share with you what we are looking for.
We are looking for a savvy Martech Analyst that has experience in:
Seeking out ways to develop and innovate marketing automation processes
Proactively seeking areas of analysis and growth opportunities
Creating new customer segments
A love of sport and all things related (wagering a massive plus)
Requirements
With great progression, career development opportunities and the chance to work with the latest digital technology (amongst a host of other cool stuff):
Coordinating and supporting organisational internal projects (integration of various marketing platforms)
Creating new customer segments for use within Betfair’s Martech stack
Assisting internal stakeholders with development of state-of-the-art data-driven digital marketing infrastructure
Coordinating and supporting organisational attribution models for different conversion goals (including model selection, registration, fund, matched bet)
Proactively seeking areas of analysis, growth opportunities and customer identification in line with the business’ acquisition and customer life cycle funnel strategies
Assisting the wider Marketing Insights team with any requested insights and reporting
But there is a catch. To be in the running for this great role, you should have:
A passion for digital marketing
Significant experience in a similar role
Experience with Google Analytics, Facebook and other digital marketing platforms
Understanding and knowledge of Salesforce Marketing Cloud
Well-developed SQL skills and advanced MS Excel skills
Proficiency with attribution modelling
Experience with CRM database integration and customer segmentation
A proven ability to implement and integrate marketing technology stack/s
Experience working in integrating Martech solutions into a mobile app (desired)
An ability to undertake some basic coding (desired)
Experience with Talend or other ETL tools (desired)
Strong analytical skills and experience
A love of sport and/or racing
Benefits
Sound like you’d be a good fit? Well, check out what we provide our passionate people:
An organisation that truly (yes really) values its people with a vibrant and engaging culture
Unbelievable employee benefits like REAL coffee, volunteer and study leave, social events, team office drinks, free breakfast, a supportive and flexible working environment and loads more…
$2,000 per year to focus on personal and professional development opportunities of your choice
A workplace that offers health and wellbeing initiatives
A generous bonus scheme – if we win you win! And we like to win
Interested?

To apply for this amazing opportunity, hit the apply button now. We expect a cover letter and CV, and if your cover letter is pretty vanilla, we might not be interested."
8,Data Modeller – 4 month contract – likely extension,Salt Recruitment,Sydney NSW,$500 a week,"Temporary, Contract","Sydney NSWTemporary, Contract$500 a weekTitle: Data Modeller

Location: Sydney

Day rate: $500-$700pd inc super

Contract length: 4 months with chance to extend

Salt have partnered up with an Australian Managed Service Provider in their search for a Data Modeller on a 4 month contract.

You will be supporting the implementation of an EDW, reporting to client BI Manager.
Responsibilities include:

Liaise with key business users to analyse their needs, perform data modelling and enhance the EDW with the required functionally.
Perform system tests on newly developed features and changes in platform’s configuration.
Prepare technical documentation and platform’s manuals.

Skills required:

In-depth knowledge of MS SQL 2014-2019
Data warehouse design principles and best practices (Kimball)
Strong T-SQL skills
Solid experience implementing OLAP/Tabular model using MS SSAS
MS PowerBI, MSBI qualifications and experience with Tableau (Desired)

If you are immediately available, please apply and I will be in touch.

Salt is acting as an Employment Business in relation to this vacancy.

Job Information
Job Reference: JO-2002-157109
Salary:
Salary per: day
Job Duration: 4 months
Job Start Date: ASAP
Job Industries: Technology
Job Locations: Sydney
Job Types: Contract"
9,Senior Technical Business Analyst - PEGA,Paxus,Sydney NSW,none,Contract,"Sydney NSWContractLeading Financial Services organisation requires a Tech Business Analyst (PEGA), to work on a new Financial Crime project.

As a Tech Business Analyst, you will be engaging the teams, extracting data, presenting data in the required format, demonstrating your Decisioning experience as well as your exposure to big data, data engineering, systems integration and architecture frameworks.

Leading Financial Services organisation requires a Tech Business Analyst (PEGA), to work on a new Financial Crime project.

As a Tech Business Analyst, you will be engaging the teams, extracting data, presenting data in the required format, demonstrating your Decisioning experience as well as your exposure to big data, data engineering, systems integration and architecture frameworks.

As part of this role, you will be expected to fulfil the following duties:

Facilitate workshops

Convert business needs into technical requirements

Manage data components, work with SQL, Excel etc. (This is not a Data Analyst role)

Integrate systesms and frameworks using PEGA for decisioning purposes

Be part of a busy and dynamic team

To be successful for the role you must be able to demonstrate the following:

Minimum 6 years' experience as a BA

Demonstrabe PEGA skills (Decisioning certifications highly regarded)

Excellent communication and stakeholder skills

Banking/Finance background essential

Super/Life Insurance nice to have

Good SQL Skills and Data Analysis

To be considered for the role click the 'Apply' now button or alternatively you can call Enrique Alarcon on 02 9464 5797 or email ealarcon @ paxus.com.au quoting job 200194074.

Please note only shortlisted candidates will be contacted.

12 month contract

Tech BA (SQL and PEGA)

CBD based"
