,job_title,company_name,location,job_desc,salary,position
0,Data Scientist,Tigerspike,Surry Hills NSW 2010,"Surry Hills NSW 2010Tigerspike is an Apple Mobility Partner, AWS Advanced Consulting Partner,and one of the most recognised specialist enterprise mobility companies in the world.
We work on exciting projects and we're looking for a Data Scientist, who enjoys a challenge, to join us.
You'll work with talented and passionate people, who love what they do, in an informal, yet high energy office.
So, if you love technology, have a passion for innovation and thrive in a team-based environment then read on...
Tell me more!
We take our client's visions from concept to release in as little as eight weeks, and often work together to evolve products for years.
You'll gain experience with industries that range from NGOs to Transport and have the opportunity to nurture products and see them through to completion and into maintenance.
Whilst many of our projects are native mobile apps and web apps, our goal is to stay at the forefront of innovation by applying design thinking to our client's business problems. That drive has lead us to experiment with wearables, VR/AR, Machine Learning, and IoT devices (especially as enabled by the cloud). The clients we partner with range from boutique to multinational, whose users span from passengers in public transport around NSW to farmers and social workers.
As a Data Scientist you'll design, architect, and develop solutions leveraging existing and emerging technologies (open source, AWS, etc.) to process and analyse large, disparate datasets to meet a client's business requirements. Your skills might also be used in strategy consulting and in making sense of the data we've collected for some of our longest supported accounts.
What experience and skills do you need?
The key ingredient to succeed in this newly created position is an entrepreneurial spirit. The successful candidate will be a Data Scientist who's excited about the potential to build out the whole of Tigerspike's Data Science practice.
Required
Experience in combining statistical reasoning and practical computing skills to solve challenging problems using large amounts of data
Ability to formulate problems according to Data Science principles
Fundamental understanding of statistical modelling
Experience in transforming data to prepare it for analysis and reporting
Skills in visualising data of various forms including structured, unstructured and spatial data
Ability to apply sound ethical principles to ethical issues that arise in Data Science always adhering to relevant statutory requirements (e.g. GDPR)
Excellent communication skills, both verbal and written
Desirable
Experience with applying machine learning algorithms and end-to-end statistical processes correctly, and interpret their results
Experience in dealing with unstructured data (text, images, video, etc.) by means of Deep Learning
Firm understanding of the role of Neural Networks in classification, Computer Vision and Natural Language Processing.
Experience in architecting Data Lakes, Data Warehouses, or other ""Big Data"" solutions.
Conversant in multiple statutory requirements with regard to data (e.g. Australian Privacy Principles) and experience with ISO-27001
What's in it for you?
Entrepreneurship - you'll have a chance to build out the whole of Tigerspike's Data Science practice
Empowerment - to be autonomous within a team that is passionate to deliver quality. This is a global role that will initially report directly to the CTO.
Professional Growth - we know you're happiest when you're learning new things, so you'll be given an annual allowance to spend on your professional growth such as attending a conference or taking a course. It's like a makeover for your mind!
Collaboration - you'll work in a multi-disciplinary team to deliver high value projects to clients
Innovation - our regular Innovation Days allow us to take a break from client work to spend time playing with the latest tech and improving our tools and techniques
Travel - as this is a global role, your services may be needed in any one of our many offices.
What else?
Tigerspike values health and wellbeing by offering:
An annual allowance to spend on your personal growth such as learning french, pottery or even attending a beer tasting course
Free Bootcamp classes weekly
Spontaneous plank, mediation and stretch breaks
Parental benefits that exceed statutory requirements
Free fruit daily
Some of the other benefits we offer include:
20 days' holiday (in addition to all public holidays) increasing to 25 days' holiday each year after your 2nd work anniversary and 30 days after 5 years!
2 Duvet Days per year - that's for when the day would be better spent at the beach or in bed
$100 monthly mobile phone allowance
The opportunity to work remotely when you need to
Free lunch and drinks on Fridays - sometimes we use the BBQ!
The chance to work on different projects in our other offices (London, Sydney, Tokyo, Dubai, Singapore, New York, Mumbai, etc.)
*We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, nationality, gender, sexual orientation, age or disability status.*
Who are we?
Tigerspike is a digital services company specialising in digital innovation with proven experience in mobile. Focusing on strategy, experience design, development and systems integration, our work is hinged on five key values: Transparency, Resilience, Problem-solving, Energy and Curiosity. We have a reputation for innovation and creating long-term partnerships with customers such as Emirates, American Express, The United Nations, 7-Eleven, Westfield, ADP and New Look.
Our People are our culture and that is what makes us unique. Founded in 2003 with a team spanning 10 global offices and counting, we are excited to continue supporting businesses #TheTigerspikeWay.
www.tigerspike.com
So what happens next?
Once we've received your application, we'll give it as much attention as it deserves and you'll hear from us either way. If we think you could be a good addition to our team, we will give you a call and from there you'll cruise through our recruitment process.
Xow9XWi1pV",,
1,Australia - Cloud and Data Engineering Consultant,FDM Group,Australia,"AustraliaFDM is the market leader in the Recruit, Train and Deploy industry. We are currently looking for talented graduates to join our award-winning Careers Program specialising in Cloud Computing and Data Engineering.
Your FDM career journey will begin with training at our Sydney Academy in Barangaroo, before being placed out on site for two years. Your two-year placement will be with one of the ‘Big Four’ accounting organisations. You will be working as part of a Digital Transformation team partnering with clients to re-imagine and re-invent their organisations to become world class digital enterprises using advanced technologies, data and human insights.
This role is extremely diverse and your day-to-day routine would be unpredictable with an array of fresh challenges each day. This opportunity gives graduates who are keen to pursue a career in technology with a fantastic opportunity to progress to a permanent position.
5 reasons why FDM is for you:
Commercially relevant training and development of employability skills, for example: SQL, UNIX, Object Orientated Development, Python, Accreditations within Cloud Computing, Big Data Engineering alongside access to other industry-recognised training materials
Excellent employee benefits, including the prestigious ‘Consultant of the Month award’ and the option to join FDM’s Buy As You Earn share scheme
Individual mentoring and ongoing support throughout your entire FDM journey
Career progression opportunities
Tech talks and plenty of social and networking events
What we are looking for:
Degree, preferably within a STEM discipline but all degrees considered
Strong analytical skills
Ability to meet deadlines effectively
Excellent communication skills
Big ambitions to succeed within the IT industry
Commitment to a two-year contract with FDM upon completion of the training period

Culture and Diversity
At FDM, our culture is unique. From charity partnerships to networking events, we are proud to provide a range of opportunities for you to get involved in, broaden your network and help you build relationships. Not to mention our renowned diverse workforce - in 2018 we were awarded Diversity Employer of the Year and we continue to prove that we’re inclusive by nature through our initiatives including Women in Tech.
There’s never been a better time to start a rewarding career in technology. Make an application today and see where your career will take you!",,
2,Data & Test Lead,Origin Energy,Barangaroo NSW,"Barangaroo NSWFocus on data cleansing, conversion and migration activities
Define and execute the program Test Strategy
Sydney based


Working for us
At Origin we have a strong purpose and values that challenge us to find the answers to the big energy questions. Every person that works with us helps us reach that goal. If you bring good energy to Origin, you’ll get it in return. A challenging career. An exciting industry. And the support to grow and explore your potential.
THE ROLE
The Data and Test Lead role will ensure that the new ways of working and technology enablers are fully-tested using common scenarios of the Origin business and that the data provided into the new solution is clean, accurate and aligned to the data standards from the Information Architecture stream.
You will be responsible for:
Develop and deliver the testing strategy to support User Acceptance testing in consultation with the implementation partner.
Co-ordinate all data cleansing, conversion and migration activities at a program level and ensure all project streams are making required progress to ensure clean and accurate data is ready in to for trail conversions as well as go-live.
Managing the data conversion, cleansing and migration plan on behalf of Origin and ensuring the delivery of data at critical milestones throughout the program.
Co-ordinate the creation of test scripts for User Acceptance Testing, ensuring that all common Origin business scenarios are adequately represented in each functional stream.
Track progress of test script execution and co-ordinate Defect resolution and re-testing activities, providing regular reports to program and project leads on progress – including criticality and resolution timeframes.
Track data preparation progress and provide program-level reports on progress and any blockers or challenges to the accuracy or cleanliness of the data that can be shared with business units and senior users.


IS THIS YOU?

Demonstrated detailed expertise and experience managing program streams of work for Data and Testing on large transformation programs.
Ability to recognise and act upon optimisation opportunities
Ability to advise and discuss ideas with project team and stakeholders with confidence, conviction and professionalism
Excellent interpersonal skill, ability to collaborate and drive outcomes
Strong planning and organisational capabilities
Demonstrated experience working on successful large-scale business transformation projects or programs.

A great team to join
It's an exciting time to join Origin. Together we’re powering a cleaner, smarter energy future for Australia and beyond, always looking for better ways to deliver for our customers – and for our people.
Origin’s Finance team plays a key role in keeping the business on track to deliver smarter, cleaner, more affordable energy to Australian homes and businesses. As part of a fast-paced, dynamic industry, we work hard to crunch the numbers to drive our continuous improvement for our customers.
We’re looking for great analytical minds that are excited by the challenge of solving big energy challenges.

Origin. Good energy
At Origin, our focus is on getting energy right for our customers, communities, and planet. Because we know it’s up to us to shape the future of energy.

For more information contact: Iain Pratt - 03 8665 7325, quote Requisition ID: 75109

Origin recognises Aboriginal and Torres Strait Islander Peoples as the Traditional Custodians of country throughout Australia, and we pay our respects to Elders past, present and future.

Here's a little about what makes us, us: www.originenergy.com.au/about/careers",,
3,Data Scientist,Redbubble,Melbourne VIC,"Melbourne VICRedbubble is an online community and retailer dedicated to all things creative! We are looking for passionate data scientists to join our growing team so that we can keep connecting artists and their works with art lovers.

Our goal is to empower creativity in many online forms and so our challenges are both big and small.

Redbubble is a platform with millions of works configured for sale on dozens of products.

We are constantly looking for new ways to improve the experience for visitors and enable them to find and discover content that is meaningful to them. In this work, data science is a crucial component.

-------
Culture
-------

One of the benefits of being a young company is that we have a fresh culture. That means everyone contributes to business direction and has the opportunity to see their ideas come to fruition; whether you're someone who likes to optimise or a creator with new ideas, everyone gets airtime.

As a Data Scientist, you will be working closely with engineers and product managers to take the data science capability at Redbubble to the next level.

--------
You Want
--------


The opportunity to use data to make a difference to people's lives
An environment where open, honest feedback is the norm, and staff are encouraged to excel
The opportunity to innovate and build new data products that move company metrics
An endless supply of large, user generated data sets to explore and derive insights
To work with a bright team and drive best practice in data science
To help create a data science discipline at Redbubble
To create algorithms for recommending items, artists, and queries
To participate in the ongoing development of our A/B testing framework and analysis
To incubate personalization, both individualization and contextualization

--------
You Have
--------


A solid understanding of statistics and machine learning (ideally backed by a formal education in related discipline – mathematics, engineering, econometrics)
Experience working with large scale data sets
Experience working at an e-commerce/internet company
Excellent communication skills
Ability to translate data insights into actionable outcomes
Fluency in SQL
The ability to write clean code in R and at least one scripting language (Ruby, Python, etc.)
A curious mind and the drive to use data to drive actionable insights

Your Privacy: If you apply for a job or contract with us we will collect the personal information that you provide as part of your application. We may also collect personal information from recruitment consultants, previous employers, referees and publicly available sources to help us decide whether to offer you the job or contract.",,
4,BI Data Analyst - (Power BI/Alteryx),Aurec Human Capital Group,Sydney NSW,"Sydney NSWContractWhere you'll be working:

This is a fantastic opportunity for BI Specialist to join an award-winning organisation to build cutting edge reporting and analysis capabilities.

You will work for a household brand name company that create products that are used by millions accross Australia. This organisation provides a great working environment to be part of with new tools and the freedom to grow.

This is a 6-month position initially with views for extension based on performance.


What you'll be doing:

You will be responsible for analysing large volumes of data and building cutting edge visualisations. You will have a strong Business Intelligence background with commercial experience using tools like Power BI and Alteryx.

You will be providing insights to business users which will allow them to make data driven business decisions. This company has a wealth of data that they want to make use of and you will play a key part in utilising the newest tools in the market.

This role will also give you exposure to using open source tools like 'R/Python' to build deep dive models in a commercial setting.

Run key analysis of data collected from various disparate data sources.
Create compelling Data Visualisations using Power BI that will be used by key stakeholders across the senior leadership team.
Participate in stakeholder meetings to understand project definitions and offer design reviews
Use tools such as Alteryx to massage data sets.
Creates, documents and implements standards as well as complex modelling and enhance the capacity and performance of the Power BI environments
Use data to generate insights and recommendations.

Essential Skills:

Power BI (Essential)
Alteryx (Essential)
SQL Server (Essential)
R/Python (Desired)
Strong data modelling skills of at least 2+ years (Essential)
Effective verbal, written and interpersonal skills

What's in it for you?

This is a great chance to take your career to the next level with a huge organisation that is working with one of the most exciting data sets out there in the market.

If this sounds like the perfect job role for you, please apply within or contact Adam on 0299931072.

We will contact you if you are successfully shortlisted.",none,Contract
5,Trainee Support Analyst (Data Technologies),Optivia,Melbourne VIC,"Melbourne VIC$55,000 - $65,000 a yearOptivia is the master distributor of Infogix’s Lavastorm and Data360 Analyze software, and responsible for providing technical support to all users of the software in the Asia-Pacific region.As part of Optivia’s growth we are now seeking a trainee Support Engineer to work with the Technical Director and progressively take over his responsibilities for customer technical support.As well as being able to identify, diagnose and solve technical problems, the successful candidate must also provide a quality end-user experience. There will be a strong focus on customer service, meeting customer expectations and requirements, as well as improving processes to meet that goal.He or she must be able to demonstrate a keen interest in solving problems and learning about new technologies relating to data analysis and analytics.Salary range: $55,000-65,000 +superannuationReporting to: Technical DirectorRequirements: Undergraduate qualification in a technical subject (ICT, engineering etc)At least 1 year of work experience in a technical or data-centric roleExperience using Lavastorm and Data360 AnalyzeExperience in SQL and Python (knowledge of Java considered favourably)Experience trouble-shooting enterprise software or IT solutionsTechnical knowledge of data solutions involving data extraction, transformation and analysisFamiliarity with Linux and Windows platformsFamiliarity with cloud-based IAAS and/or PAAS on Azure or AWSUnderstanding of IT system networking and security principlesProblem-solving skills.Excellent communication skills and confidence to deal with stakeholders at all levels.Ability to work autonomously and effectively manage time according to company and customer priorities.Experience using data visualisation tools and supporting ‘managed service’ solutions considered favourablyActivities and ResponsibilitiesProvide Level 1 support for all inbound customer incidents – recording incident, reproducing issue, prioritising for escalation etc.Provide Level 2 support (as and when your skills permit): – analysing, evaluating and diagnosing technical problems and issues, lodging bug or enhancement requests with vendor, documenting solutions.Providing support for projects involving technology rollouts and software upgrades, remotely or at client site.Testing, identifying and diagnosing functionality errors and faults in systems, and logic/code within established guidelines to ensure systems perform to specificationCreating and reviewing technical documentation such as procedural, instructional and operational guides and manualsLiaising with software vendor’s Level 3 support and licensing teams overseas.Contributing to the design and deployment of processes and systems for the recording, escalating and tracking of all Level 1 and 2 support issues.Developing, conducting and providing technical guidance and training in application software and operational proceduresManaging a database of customers and their maintenance status and support entitlementsHandling all product license requests and extensions.Performing other internal and client-facing tasks when available and required to do so.This is a unique opportunity to join a successfully growing company, expanding into new areas, where you can further develop your skills and knowledge.Job Type: Full-timeSalary: $55,000.00 to $65,000.00 /year","$55,000 - $65,000 a year",
6,PhD Scholarship at Interface of Clinical Psychology & Data Science,Swinburne University of Technology,Melbourne VIC,"Melbourne VICPhD research project within Swinburne’s Centre for Mental Health
Generous stipend and a range of other benefits
Located at our Hawthorn campus

About the Scholarship
A PhD scholarship is available for an exceptional candidate to conduct industry-based cutting-edge research at the interface of psychology and data science. The scholarship is administered through the Digital Health Cooperative Research Centre and comes with a generous stipend, project funding support, and professional development opportunities (see www.digitalhealthcrc.com/hdr-program).


For the industry partner SiSU Health, the key deliverable is the development of an evidence-based, empowerment-oriented mental health assessment component, ready to be embedded in existing health self-assessment portals. This will enable SiSU Health to offer an entirely new domain of consumer feedback and move closer to a holistic health assessment technology.

The PhD project will be supervised by Professor Greg Murray, Director of the Centre for Mental Health at Swinburne. Within the parameters of the project description and deliverables described above, the successful candidate will (in close consultation with Professor Murray) be the intellectual driver of the research project.


About Swinburne University of Technology
Swinburne is a multi-sector university of science, technology and innovation with more than 54,000 students and 5,000 staff globally. We offer postgraduate, undergraduate, vocational education and online education to provide students with a variety of work-relevant pathways. Our mission is to be a world-class university, creating economic and social impact through science, technology and innovation. We aim to deliver future-ready learners, research with impact and innovative enterprise.


Be the innovator in the face of technological and social change with Swinburne’s Faculty of Health, Arts and Design. Leading edge research centres, strong ties to industry and commitment to high-quality, high-impact research allows you to understand humanity deeply, bring the real world to focus and make your mark.


About you

To be successful in the role, you will have:

A first-class Honours degree and/or a research master’s degree in psychology or related discipline
Where applicable, International English Language Testing System (IELTS) examination certificate with a minimum overall score of 6.5 with no individual band score below 6.0
A background in psychology or a mental health-related field


A full list of selection criteria is available within the position description.


How to apply and further information
Please submit your application by clicking on the ‘Apply’ link, and submit a resume, cover letter and a response to the Key Selection Criteria, as listed in the position description.

For further enquires please contact Professor Greg Murray, via email at gwm@swin.edu.au

If you are experiencing technical difficulties with your application, please contact the Recruitment team on staffrecruitment@swin.edu.au

Should you require further support for an interview due to special needs or consideration, please contact our Diversity Consultant, Dr Walter Robles, on inclusion@swin.edu.au. For support or queries related to Aboriginal and Torres Strait Islander employment, please contact DeadlyCareers@swin.edu.au

Swinburne is a large and culturally diverse organisation. We are proud to be recognised by the Workplace Gender Equality Agency as an Employer of Choice for women for 10 years in a row and of key initiatives such as our Pride@Swinburne Strategic Action Plan and our Reconciliation Action Plan. Equity and diversity are integral to our 2025 vision to be a world class university creating social and economic impact through science, technology and innovation.


Applications close at 5pm, 8 March 2020",,
7,Senior Digital Data Analyst,AKQA,Melbourne VIC,"Melbourne VICWithin AKQA, Data & Analytics is one of the fastest growing disciplines that is integral to delivering value for our clients and positive impact for their customers. As part of a multi-disciplinary approach to problem solving our team provides a wide range of capabilities including user experience (UX) analytics, consumer research, and applied data science. Our clients are building the future of their business and, more than ever, data is at the heart of making this future a reality.

As a Senior Analyst at AKQA, you should be passionate about using data to derive insights and provide optimisation recommendations that create better connections with consumers. You will be responsible for defining measurement and testing frameworks to business results for our clients.

At AKQA Melbourne, you will work in a meritocratic culture, surrounded by some of the brightest minds in their fields. You will have the opportunity to learn and grow within a creative and technically advanced team, and have access to ongoing personal and professional development. At AKQA, we are committed to your career growth, as well as to your work/life balance.

ROLE REQUIREMENTS:

Data Strategy: Ability to connect a client's business goals to a complete measurement plan that defines the metrics, systems, and methodologies needed to meet those objectives. You will also be responsible for developing data maturity roadmaps for our clients which are focused on raising their maturity in this space and using data across their digital ecosystems.
Strong background in data analysis and insight generation, using statistically sound analytical techniques to provide robust descriptive data sets that inform, shape, and defend a business/brand/experience strategy.
Communication and story-telling: be able to connect those insights in a way that tells a clear story and leads to clear action – across a variety of formats.
Design detailed tracking strategies and ensuring rich data capture, as part of tag management (GTM), QA, and implementation guidance to dev team/partners.
Create strategic testing frameworks, learning agendas and associated tools and methodologies, like using Google Optimise and analysing statistical significance.
Prepare reports and creating dashboards which give our clients information and insight into their business' performance
Collaborate with technical engineers to integrate data platforms together
Configure and deploy website tagging and analytics tools for site implementations, including custom events, variables and dimensions.

QUALITIES AND CHARACTERISTICS:

Experience in digital analytics, UX/funnel optimisation, and A/B testing.
Knowledge and mastery of relevant analytics platforms and products:
Web Analytics (Adobe & Google Analytics mandatory)
Tag Management (Adobe Launch, GTM)
Testing and Optimisation (Target, Optimise 360, Optimizely)
BI tools (Tableau, Data Studio PowerBI)
Data Warehouses (Big Query)
UX tools (Full Story, Hotjar etc)
Audience Management (Adobe Audience Manager,. Adobe Experience Platform)
Ability to write basic code for data manipulation.
High proficiency in MS Excel.
Experience with Tableau, Google Data Studio or Power BI would be highly regarded
Strong communication skills, enabling you to present insights with confidence and 'tell a story' with data.
Enthusiastic, solution-focused attitude, with the determination to find the best outcome for all projects.

AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA's ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.",,
8,Data Management Project Specialist,Clicks IT Recruitment,Canberra ACT,"Canberra ACTWe are looking for Data Management Project Specialist for a Federal government client based in Canberra.

Duration: Till August 2020 with 3 x6 months extensions

Citizenship requirement: Australian citizens with Baseline clearance

Role & Responsibilities:
Provide high-level advice on, and specialist expertise in, establishing a contemporary data management capability including the application of principles, methodologies and techniques within a business line with national responsibility for data custodianship and information provisioning
Construct program and work plans for designing, building and implementing a mature organisational data management capability detailing measurable milestones, outcomes and the link to delivering strategic objectives; monitor program and work progress; and manage priorities
Design a data management framework and functions that enable delivery of improved business operations, the ability to make consistent decisions about how to get strategic value from data and increased value for data consumers, and seamlessly integrate with data management functions provided by information technology providers
Consult and collaborate with technical and non-technical stakeholders to influence, exchange information, provide advice and recommendations related to the design and implementation of an effective organisational information and data management capability
Be accountable for accurate completion of work within timeframes, priorities, practices, and methodologies, ensuring that outputs comply with relevant legislation, government information governance and information management policies and guidelines, and reference information architecture
Share own data management expertise with others, guide and mentor less experienced staff and work collaboratively to achieve business outcomes
Identify and analyse risks and issues associated with the design of services, systems and procedures as they relate to the management and utilisation of information and develop solutions to address these.

If you wish to apply for this position, please submit your resume by clicking the 'Apply Now' button. For further information please contact Karun Sharma at Clicks IT Recruitment on 02 6202 7744.",,
9,Data Engineer/Developer,Peoplebank,Perth Central Business District WA,"Perth Central Business District WAContractData Engineer / Developer
Initial 6-month contract working with mining clients
Based close to the Perth CBD
Key technologies are PowerBI, HTML5 & MS BI stack
An IT consulting company is seeking a Data Engineer/ Developer for an initial 6-month contract based close to the Perth CBD. The role work within a team of developers and will work across various clients including those in the mining/ resources sector.
Responsibilities include:
Support existing dashboards & work on various development projects;
Development work with dashboards;
Engage in development work based on with high-level requirements;
Provide capability & training around data practices;
Enable better data citizens and be involved in some prototyping work;
Sort out how to access the data;
Utilize mobile platforms;
Delivery and support work.
Key skills:
Commercial development experience with PowerBI, HTML5 & MS BI stack;
Experience with Data sources including Oracle, SQL server databases & SSAS data warehouses;
AWS & data lakes in the cloud;
Excellent communication and stakeholder engagement skills;
Strong ability to multitask;
Ability to work based on high level requirements;
Be able to challenge stakeholders in regard to design thinking and improvements, when required.
Any experience in the mining sector would be highly regarded, but is not mandatory;
Possible travel to mine sites or the airport may be required.
If you have the required experience for this role, please apply now via the link below. Suitable candidates will be contacted for a confidential discussion.
Contact: Lisa Williams (08) 9423 1400 (Job reference: 201469)",none,Contract
