,location,company,title,salary,description,review,star,country
3,Sydney NSW,International Institute of Data & Analytics,Junior Data Analyst/Scientist,,"In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by…",,,Australia
5,Sydney NSW,AWS Australia Pty Ltd,Sr. Data Scientist,,"Strong communication and data presentation skills.
As an ML Solutions Lab data scientist, you are proficient in designing and developing advanced ML models to…",,,Australia
7,Sydney NSW,Atlassian,"Senior Data Scientist, DevOps Product Analytics",,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…,,,Australia
10,North Sydney NSW,Harwood Environmental Consultants,Graduate Environmental Scientist,,"To develop the skills required to achieve field work goals, Work Standards and to prepare the data required for Project Reports, ensuring maintenance of high…",,,Australia
11,Sydney NSW,Freelancer.com,Data Analyst / Junior Data Scientist,,"We are a data-driven company - data trumps opinions.
Present information using data visualisation techniques.
You think data and dream numbers.",,,Australia
5,Randwick NSW,NSW Health Pathology,Medical Laboratory Assistant,"$53,647 - $55,829 a year","Excellent data entry skills including high attention to detail and data accuracy.
Our network of pathologists are supported by scientists, technicians and…",,,Australia
8,Sydney NSW,NSW Government,Scientist Climate Research,,"Are you a scientist who is passionate about delivering robust and rigorous climate science that influences government policy?
Duration: ASAP up to 36 months.",,,Australia
11,Sydney NSW,Atlassian,Principal Data Scientist,,"Experience mentoring and leading junior data scientists.
In a data-hungry place like Atlassian experiencing rapid growth, business opportunities from the…",,,Australia
6,Darlinghurst NSW,St Vincent's Hospital Network,Senior Research Scientist/Bioinformatician_SVHN,"$97,812 - $116,013 a year","The experienced post-doctoral scientist/bioinformatician with proven next-gen sequencing (NGS) analysis experience would join the Blood, Stem Cell and Cancer…",,,Australia
10,Sydney NSW,"Susquehanna International Group, LLP",Graduate Buy-Side Research Analyst 2021,,"Do you enjoy watching how company specific news and current events impact the financial markets?
Like solving puzzles and working competitively with a team to…",,,Australia
14,Sydney NSW,Goldman Sachs,"Global Investment Research, Equity Research, Banks, Analyst/Associate - Sydney",,"Interpreting data and perform analysis on market, economic and technology trends.
Analyzing market share, macro trend, and cross company and sub sector data…",,,Australia
15,Sydney NSW,Freelancer.com,Data Scientist - Sydney,"$70,000 - $110,000 a year","Proven experience as a data scientist or analyst.
We are a data-driven company- data trumps opinions.
If this sounds like you, you will love life as a data…",,,Australia
2,Rydalmere NSW,IDEXX,Veterinary Laboratory Scientist,,"Intermediate computer and data entry skills.
Across the globe the team at IDEXX are focused on enhancing the health and well-being of pets, people, and…",,,Australia
5,Sydney NSW,Intellify- ACS Foundation,Data Engineer Intern,,"Working collaboratively with data scientists to architect solutions that enable machine learning.
Build data expertise and own data quality for the industry…",,,Australia
