,job_title,company_name,location,salary,job_desc
3,Junior Data Analyst/Scientist,International Institute of Data & Analytics,Sydney NSW,,"In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by…"
5,Sr. Data Scientist,AWS Australia Pty Ltd,Sydney NSW,,"Strong communication and data presentation skills.
As an ML Solutions Lab data scientist, you are proficient in designing and developing advanced ML models to…"
7,"Senior Data Scientist, DevOps Product Analytics",Atlassian,Sydney NSW,,Play with our seriously large volume of analytics data to understand insightful trends and employ this behavioural data and insights to intelligently to improve…
10,Graduate Environmental Scientist,Harwood Environmental Consultants,North Sydney NSW,,"To develop the skills required to achieve field work goals, Work Standards and to prepare the data required for Project Reports, ensuring maintenance of high…"
11,Data Analyst / Junior Data Scientist,Freelancer.com,Sydney NSW,,"We are a data-driven company - data trumps opinions.
Present information using data visualisation techniques.
You think data and dream numbers."
5,Medical Laboratory Assistant,NSW Health Pathology,Randwick NSW,"$53,647 - $55,829 a year","Excellent data entry skills including high attention to detail and data accuracy.
Our network of pathologists are supported by scientists, technicians and…"
8,Scientist Climate Research,NSW Government,Sydney NSW,,"Are you a scientist who is passionate about delivering robust and rigorous climate science that influences government policy?
Duration: ASAP up to 36 months."
11,Principal Data Scientist,Atlassian,Sydney NSW,,"Experience mentoring and leading junior data scientists.
In a data-hungry place like Atlassian experiencing rapid growth, business opportunities from the…"
6,Senior Research Scientist/Bioinformatician_SVHN,St Vincent's Hospital Network,Darlinghurst NSW,"$97,812 - $116,013 a year","The experienced post-doctoral scientist/bioinformatician with proven next-gen sequencing (NGS) analysis experience would join the Blood, Stem Cell and Cancer…"
10,Graduate Buy-Side Research Analyst 2021,"Susquehanna International Group, LLP",Sydney NSW,,"Do you enjoy watching how company specific news and current events impact the financial markets?
Like solving puzzles and working competitively with a team to…"
14,"Global Investment Research, Equity Research, Banks, Analyst/Associate - Sydney",Goldman Sachs,Sydney NSW,,"Interpreting data and perform analysis on market, economic and technology trends.
Analyzing market share, macro trend, and cross company and sub sector data…"
15,Data Scientist - Sydney,Freelancer.com,Sydney NSW,"$70,000 - $110,000 a year","Proven experience as a data scientist or analyst.
We are a data-driven company- data trumps opinions.
If this sounds like you, you will love life as a data…"
