,job_title,company_name,location,salary,job_desc,position
0,Data Analyst | NFP | Bioscience,Robert Half Australia,Melbourne VIC,$500 a day,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Melbourne VIC</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--salary icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">$500 a day</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">Data Analyst to build dashboards and visualisations in Power BI.
<br/><br/>
The Company
<br/>Our client is an award-winning Not-for-profit company in the Bioscience sector. They hold a diverse client base across many scientific domains, and they have been delivering major contributions for decades using both cutting edge technology and innovation. Working for this company and their cause is the definition of 'feel good work.'
<br/>Our client holds a significant amount of data which needs to be assessed and then built into an array of dashboards using Power BI. This reporting capability will be of most value to the Sales and Finance teams. As it stands, they are at the beginning of their Power BI journey, and as such, an opportunity for a Data Analyst has presented itself.
<br/>The Role
<br/>Reporting directly into the CFO, the role will require you to engage with multiple stakeholders to understand both their requirements and pain points to then ultimately create the ideal reporting capability using Power BI. To fulfil this role, you as the Data Analyst will;
<br/>Build business requirements through engaging key stakeholders and SME's.
<br/>Build new Power BI dashboards and reporting functionality.
<br/>Analyze, report and present data using the full breadth of Power BI tools.
<br/>Provide data driven solutions back to the organization to solve business problems.
<br/>Use SQL queries to extract and interpret data.
<br/>Spur and support the ongoing development of data reporting tools and self-service dashboards.
<br/>Your Profile
<br/>To be the successful candidate you will have a minimum of 2 x years of experience in Data Analysis using Power BI and the ability to work autonomously. You will be comfortable questioning the data and the business. You will have;
<br/>Experience building dashboards to present data visualizations using Power BI.
<br/>Experience in exporting, transforming and analyzing data.
<br/>Experience translating business requirements into data solutions.
<br/>Exceptional communication skills both written and verbal.
<br/>Excellent stakeholder engagement and management skills at all levels.
<br/>Strong skills and SQL and Excel.
<br/>A Strong attention to detail to identify data errors and inconsistencies.
<br/><br/>
Please send your resume to us by clicking the ""Apply Now"" button. Resumes in MS Word format are preferred. Job Reference No: 06810-0011349531JR</div></div>",
1,"Data Wrangler, Economic Consulting, Sydney or Brisbane","FTI Consulting, Inc.",Sydney NSW 2000,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW 2000</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><b>About the Role</b>
<br/>
<br/>
In FTI Consulting's Australian Economic &amp; Financial Consulting practice, we help our clients navigate legal, regulatory and international arbitration proceedings while supporting strategic decision making and public policy debates around the world. Delivering incisive interpretation of complex economic issues has made us a global leader in this field.
<br/>
<br/>
After successfully launching our Australian Economic &amp; Financial Consulting (EFC) practice in 2018, we are now looking to expand our small but growing national team to deliver even more value to our clients. We have offices in Sydney, Melbourne, Brisbane and Perth.
<br/>
<br/>
We are currently seeking a data analytics expert with strong Python skills and comfortable dealing with large data sets such as energy market data and climate data. For this position, we are looking for someone with minimum four years' experience and high-level skills in areas including:<br/>
<br/>
<br/>
<ul><li>Python
</li><li>Data wrangling
</li><li>Understanding linear programming
</li><li>Statistical analysis
</li></ul><br/>
As a group, we look for people that can take complex problems and use strong analytical frameworks and communication skills to deliver robust solutions to clients in straightforward, non-technical language.
<br/>
<br/>
<b>What You'll Do</b>
<br/>
<ul><li>Lead the development of the Australian EFC data analytics capability
</li><li>Work with FTI Consulting's international staff to develop a local electricity market modelling capability
</li><li>Produce reports, presentations and other client deliverables
</li><li>Contribute to business development, including identifying new opportunities and preparing proposals and bids
</li><li>Develop and acquire new skills by participating in internal and external training and educational opportunities.<br/>
</li></ul><br/>
<br/>
<b>Qualifications &amp; Experience</b>
<br/>
<br/>
The successful applicant is likely to have the following skills and experience:
<br/>
<ul><li>A degree in a relevant area such as IT, mathematics, economics, finance or a related discipline.
</li><li>High level Python skills.
</li><li>Strong data management skills (data wrangling, model building, understanding of linear programming and statistical analysis).
</li><li>Strong written and spoken communication skills.
</li><li>Excellent teamwork skills, and a positive and flexible approach.<br/>
</li></ul><br/>
<br/>
<br/>
<b>Our Benefits</b>
<br/>
<br/>
Apart from the well-structured career path and collaborative team environment, our employees enjoy a variety of perks and benefits. Our benefits include, but are not limited to:<br/>
<br/>
<br/>
<ul><li>Attractive remuneration
</li><li>Generous parental leave
</li><li>Medical insurance program (corporate membership) for individual and dependent(s)
</li><li>Annual paid volunteer hours
</li><li>Corporate matching for charitable donations
</li><li>Flexible working arrangements
</li><li>Fresh fruits, snacks, and drinks
</li><li>Employee Assistance Program (""EAP"") - free to all employees and their immediate families
</li><li>Monthly Health &amp; Wellbeing program including fitness subsidies
</li><li>Professional membership contributions and generous paid study leave<br/>
</li></ul><br/>
<br/>
<b>About FTI Consulting
</b><br/>
<br/>
What makes us unique? With more than 5,000 employees located in offices in every corner of the globe, we are the firm our clients call when their most important issues are at stake. Regardless of what level you are, you will have the opportunity to work alongside and learn from top experts in your field on high-profile engagements that impact history. Our culture is collaborative, and we value diversity, recognition, development and making a difference in our communities.
<br/>
<br/>
FTI Consulting is publicly traded on the New York Stock Exchange and has been recognised as a Best Firm to Work For by Consulting magazine and one of America's Best Management Consulting Firms by Forbes. For more information, visit www.fticonsulting.com.
<br/>
<br/>
FTI Consulting is an equal opportunity employer and does not discriminate on the basis of race, color, national origin, ancestry, citizenship status, protected veteran status, religion, physical or mental disability, marital status, sex, sexual orientation, gender identity or expression, age, or any other basis protected by law, ordinance, or regulation.
<br/>
<br/>
#LI-EB1</div></div></div>",
2,Senior Data Analytics Consultant,RACQ,Eight Mile Plains QLD,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Eight Mile Plains QLD</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><div><b>Senior Data Analytics Consultant</b><b>(</b><b>Job Number:</b> <b>190000VF</b><b>)</b></div><p></p><div><b>
Description</b><div>
</div><div>
Want to be part of a Queensland company that truly makes a difference? Join the RACQ Analytics team in this full-time, permanent opportunity. Your work will help to inform business decisions so that we can enable our frontline teams to deliver outstanding customer service to our 1.8 million members.</div><div></div><br/>
<div>
As a <b>data engineer</b> the key responsibilities will be to gather, structure and analyse data in an AWS environment using a broad range of technologies. You will design and develop data-driven strategies and analytics solutions to improve member experience outcomes across the RACQ Group. You will also be provided with opportunities to showcase your work directly to the broader Analytics team.</div><div></div><br/>
<div>
This role is based at our main offices located at Eight Mile Plains.</div><div></div><br/>
<div><b>
Desired Skills &amp; Experience:</b></div><div><ul><li>
Experience in AWS products, e.g. Redshift, S3, etc.</li><li>
Experience in the development and presentation of analytic solutions using a range of tools, including, but not limited to, SQL (or equivalent database query language), Python, Cognos, TM1, Tableau, and R.</li><li>
Excellent written and verbal communication skills, including ability to explain complex issues in plain terms</li><li>
Demonstrated interpretation, problem-solving and decision-making skills</li><li>
Ability to think outside the box and identify continuous improvement opportunities</li><li>
Willingness to learn and apply initiative</li></ul></div><div>
RACQ is as much a part of Queensland as our people. Together we exist to make life better for each other, our members and every Queenslander, through finding better and smarter ways of doing things. With almost 2 million members, we’re big enough to make a real difference in our community, yet small enough to nurture your professional and personal development.</div><div></div><br/>
<div>
Working at RACQ brings some great benefits including onsite parking, staff gym and café, free Roadside Assistance and significantly discounted RACQ products and services, for you and your family.</div><div></div><br/>
<div><b>
Ready to apply? You’ve got this.</b></div><div></div><br/>
<div>
Please Note: we do not accept third party or emailed applications. You may be required to complete video interviews, psychometric testing, a medical and/or criminal history check as part of the application process.</div><div></div><br/>
<div><b>
Questions?</b> Please contact michaela.marks@racq.com.au or visit www.racq.com.au/about/careers/our-recruitment-process</div><div>
#L1-MM1</div></div><p></p><br/>
<div><b>
Work Locations</b><div>
</div>
Eight Mile Plains 2649 Logan Road Eight Mile Plains 4113</div></div></div></div>",
3,Data Engineer,Cover Genius,Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><div><div>Cover Genius is an Australian insurtech with operations on four continents. We distribute insurance products via well-known ecommerce brands using our bespoke policy creation platform. Our first product to market, RentalCover.com, has been an outstanding B2B and B2C success within the travel vertical, and we're already the second-largest car rental insurance underwriter in the world.</div><div></div><br/>
<div>
Following this success we built XCover, a hyper-flexible platform that enables global ecommerce partners to sell relevant and targeted insurance policies to their customers in any vertical. We’ve won dozens of tech and industry awards for the work the CG team are doing towards disrupting the hugely complex global insurance industry, and following significant series B investment we’re growing extremely quickly.</div><div></div><br/>
<div><b>
The role:</b></div><div>
The Data Engineer is a key figure in helping us create world-class data warehousing, to make data easily and readily available for analysis. You’ll be the lead for data engineering, owning ETL and future-proofing our data platform as we scale.</div><div></div><br/>
<div>
We're an open-source environment leveraging Google Cloud Platform where possible. We use Airflow for our ETL pipelines, Kubernetes for container orchestration, and have transitioned our data warehouse to BigQuery.
</div></div><div><div><h3 class=""jobSectionHeader""><b>Skills &amp; experience required:</b></h3><div><ul><li>
Advanced level of experience with MySQL, Postgres, and SQL</li><li>
Expertise with Python development and scripting</li><li>
Significant exposure to large-scale distributed systems</li><li>
Good knowledge of technologies such as Linux, Git, Docker, Kafka
</li><li>Experience in using Airflow, and ideally Kubernetes</li><li>
Hands-on knowledge and experience with Google Dataflow, Dataproc or similar</li><li>
BS in Computer Science, Math or a related STEM field</li></ul></div></div></div>
<div><div><b>Why Cover Genius?</b></div><div>
Cover Genius not only cares about being the best in our industry, we care about our team. Some of the many benefits we have are:</div><div></div><br/>
<ul><li>Regular hackathons and tech talks</li><li>Stock options so you can share in the success of the business</li><li>More snacks than you'll ever be able to eat</li><li>Casual sports and fitness sessions every day of the week</li><li>Flexible working in a relaxed, inclusive and fun environment</li></ul><div></div><br/>
<div>
We know that excellence comes in many different forms, and we support everyone equally on their individual career journeys. You'll love working here, and will learn something new every day. Please feel free to share your resume and our TA team will be in touch!</div></div></div></div></div>",
4,Actuarial Analyst,Kepler Analytics,Melbourne VIC,"$70,000 - $80,000 a year","<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Melbourne VIC</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--salary icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">$70,000 - $80,000 a year</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>We are a rapidly growing medium sized Melbourne-based analytics company looking for outstanding talent to join the team to help accelerate the transformation of the retail industry, through the usage of data, artificial intelligence and human ingenuity.</p><p>We are looking for an experienced Actuarial Analyst.</p><p>This role involves technical data administration for our enterprise analytics system. We collect and report on different types of data for global retailers and large public companies and need to ensure that our reporting is correct and that the system is set up properly for users.</p><p>This role is critical to the continued success of our solution. You will be a team player working with internal departments to bring your work to life.</p><p>They will want to see things through to the end and deliver a superior outcome. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of analytics.</p><p>Key responsibilities include:</p><ul><li>Provide support in regular reporting key performance indicators and forecasting to support business decision making.</li></ul><ul><li>Analyze and assess investments and financial risks for retail enterprises using Actuarial judgement and propose investment strategies that reflects the company's risk appetite.</li></ul><ul><li>Provide support to business-wide requirements such as budgeting, end of financial year reporting.</li></ul><ul><li>Liaising with clients to determine the area to be analyzed.</li></ul><ul><li>Specifying the data requirements and methodology to be used in collecting, cleaning and analyzing data.</li></ul><ul><li>Designing new type of models and reports for retail enterprises.</li></ul><ul><li>Developing predictive models working with Data Scientists to examine financial and non-financial projections</li></ul><ul><li>Provide support in defining, analyzing and solving complex financial and business problems.</li></ul><p>Skills required</p><ul><li>SQL and Python experience is a plus</li><li>Advanced excel skills are required.</li><li>A problem solver and quick learner</li><li>Attention to detail is absolutely essential</li><li>Good communication and stakeholder management</li><li>Minimum 2 year experience in a similar position required.</li><li>Experience in IT and/or Retail or industry preferable</li></ul><p>Being a rapidly growing team that's expanding globally, the work environment is very dynamic and projects can be intensely challenging. But if you care about working hard and seeing your efforts make an immediate difference in the real world, this is the place you'll want to be.</p><p>At Kepler we live the values of:</p><ul><li>Ease</li><li>Engage</li><li>Responsible</li><li>Respect</li></ul><p>If you can see yourself in the above then apply today including a cover letter and CV.</p><p>Job Type: Full-time</p><p>Salary: $70,000.00 to $80,000.00 /year</p><p>Experience:</p><ul><li>Actuarial: 2 years (Preferred)</li></ul><p>Education:</p><ul><li>Bachelor Degree (Preferred)</li></ul><p>Location:</p><ul><li>Melbourne VIC (Preferred)</li></ul><p>Benefits:</p><ul><li>Training and professional development assistance</li></ul></div></div>",
5,Transactional Data Analyst,Robert Half Australia,Parramatta NSW,"$65,000 a year","<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Parramatta NSW</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Permanent</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--salary icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">$65,000 a year</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">Newly created position for a graduate with an analytical mindset to join a Financial Services organization based in Sydney's CBD.
<br/><br/>
Exciting opportunity for a graduate with a background in analytics to join a Financial Services organization in Sydney's CBD.
<br/><br/>
In this newly created position, our client is looking for someone to assist the business in building the framework for their new division of transactional services analysis. With your analytical thinking, you'll be analyzing the company transactional data to identify any service errors in the financial transactions and work closely with the wider IT and Operations division to advise on changes and process improvements to prevent future errors within the business.
<br/><br/>
You will be comfortable in liaising with internal and external stakeholders to understand business requirements, transactional errors and collaborate with various divisions in advising on solutions and process improvements.
<br/><br/>
This position will ideally suit a graduate or someone with up to 2 years of analytical experience.
<br/><br/>
<b>The Role:</b><br/>
Monitor, report and manage escalation of all transactional services issues
<br/>Analyze transactional data to identify errors in transactional services
<br/>Liaise with local &amp; global teams to assist with the timely identification, troubleshooting and resolution of issues
<br/>Determine opportunities to improve and automate processes and functions
<br/>Coordinate and collaboration with Salvador, Pakistan and UK teams
<br/>Executing Pivot Tables in Excel to manipulate data and identify service errors
<br/><br/>
<b>Skills / Experience required:</b><br/>
Basic SQL scripting &amp; execution capabilities
<br/>Microsoft Excel experience - Pivot Tables etc.
<br/>Ability to manage a team to deliver results
<br/>Self-motivated and ability to work independently
<br/>Experience working with third party vendors
<br/>Experience providing professional services to customers and clients
<br/>Excellent communication skills
<br/>Highly developed stakeholder management skills
<br/><br/>
Please send your resume by clicking on the apply button. Your application will be assessed within 3 working days. Please note only shortlisted candidates will be contacted.
<br/>Learn more about our Sydney recruitment services https://www.roberthalf.com.au/sydney</div></div>",Permanent
6,Database Manager,Beaumont People,Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><div><b>DATABASE MANAGER</b></div>
<br/>
<b>· Full-time permanent role - Raisers Edge experience a must</b><br/>
<ul><li><b>Closely located by the St Leonards train station</b></li><li><b>Generous salary &amp; benefits on offer</b></li></ul><br/>
Reporting to the Head of Operations, it will be your responsibility to oversee and drive internal daily goals and to contribute findings and improvements to the leadership team. The Database Manager will lead and collaborate with a data team to interpret, extract and develop effective data to make strategic and intuitive decisions across all functions.
<br/>
<br/>
The Data Team interpret data collected from supporters to better understand the trends and make recommendations, to the assist in the retention and growth of supporters. As the leader and subject matter expert, you will proactively identify, recommend, and implement process improvements using your analytical skills. Previous experience managing projects will be advantageous in order to execute data driven improvements.
<br/>
<br/>
To be successful in this position, ideally you have at least 3 years Raisers Edge experience as well knowledge of programming languages, specifically SQL. You will have at least five years of experience working with a CRM database and programs and possess the motivation to grow with the Database Team. You must be comfortable with change and growth and have strong leadership qualities, accompanied with influencing skills, and a desire to grow your leadership skills...
<br/>
<br/>
You will be welcomed by a supportive and passionate Data Team, who is eager to grow and bring meaning to the data to achieve the organisation's outcomes.<br/>
<br/>
<b>Benefits</b><br/>
<ul><li>35 hour work week</li>
<li>Extra paid leave at Christmas</li>
<li>17.5% leave loading</li>
<li>Flexible work policy a time in lieu program</li>
<li>Paid study leave and study fee assistance when eligible</li>
</ul><b>How to apply</b>
<br/>
<br/>
If this sounds like something that you would be interested in, please apply directly with your full resume. If you have any further questions please contact Diana Linde or Rhonda Newman at rhonda@beaumontpeople.com.au There is no closing date for this role, all applications will be reviewed as they are received, and successful applicants will be contacted.</div></div></div>",
7,Cloud DevOps Engineer,Peoplebank,Sydney Central Business District NSW,none,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney Central Business District NSW</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--jobs icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Contract</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><ul><li><b>Sydney CBD</b></li><li><b>
500 a day inc super</b></li><li><b>
Contract plus potential extension
</b></li></ul><p></p><p>Our client is a leading professional services business working with an extensive list of top tier clients. They require a Cloud DevOps engineer to work on site at a major banking group.</p><p>
</p><p><b>The candidate:</b></p><ul><li>
Experience on working with AWS Public Cloud technologies (S3, EC2, RDS, etc). AWS DevOps certification is a big plus.</li><li>
Proven track record on delivering migration of applications hosted on on-premise bare metal servers or on-premise virtual machines to AWS.</li><li>
Experience in implementing and testing business continuity plans in AWS (Backups, Restores, Recovery automation)</li><li>
Automation of Configuration management for Windows and Unix OS, and vendor products such as AXIOM, Integrated Capital Engine (ICE) and QRM is preferred.</li><li>
Strong understanding and experience in working with database technologies such as MSSQL, Oracle, Postgre SQL.</li><li>
Strong understanding and experience in working with ETL tools and scripting tools</li><li>
Strong understanding and experience on Continuous Deployment and Delivery (CI/CD), and tools (Bamboo, Jenkins, Terraform, Cloud Formation).</li><li>
Strong understanding and experience on Continuous monitoring.</li><li>
Experience on working in the banking and financial services industry in a plus.</li><li>
Exposure to various tools like Remedy, Splunk, CyberArk, Bit Bucket, AppDynamics and Control-M, JIRA, Confluence etc.</li></ul><p>
</p><p><b>Please submit CV in WORD format ONLY</b></p><p><b>
Ref 200927</b></p></div></div></div>",Contract
8,Finance Business Partner - Banking,T+O+M Executive,Sydney NSW,,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Sydney NSW</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p>Finance Business Partner - Banking
</p><p>Supporting this leading business area within group planning and forecasting you will drive the commercial finance conversation across the business. You will provide key messages through financial analysis that will influence the business's strategic decisions.</p>
<p>
Responsibilities:</p>
<ul><li> Delivery of the management reporting including budgeting, forecasting, and insightful commentary;</li></ul>
<ul><li> Strategic decision support including financial modelling and project-based initiatives that will drive the business;</li></ul>
<ul><li> Manage and understand in depth the business drivers;</li></ul>
<ul><li> Ad hoc reporting and analysis as required by the business.</li></ul><br/>
<p></p>
<p>
Experience:</p>
<ul><li> CA/CPA qualified;</li></ul>
<ul><li> Excellent business partnering background and the ability to influence stakeholders through sound financial analysis;</li></ul>
<ul><li> Strong working knowledge and background in financial services, and ideally banking would be highly regarded;</li></ul>
<ul><li> Advanced competency in Microsoft based products, Tableau, SQL and Essbase will be highly regarded;</li></ul>
<ul><li> Excellent communication and organisation with a high attention to detail.</li></ul><br/>
<div></div>
<div>
In return you will work with a fun and dynamic team who are continuously thinking of innovative ways of working, have a culture of rewarding high performers and an opportunity to partner directly with senior stakeholders.</div><br/>
<p></p>
<div>
To be considered, simply apply below or send an updated CV to noreen.tariq@tomexecutive.com, or call Noreen Tariq on (02) 8270 0540 for a confidential discussion.</div></div><p></p></div></div>",
9,Java Engineer - Gold Coast - Contract,Embedded Search and Selection,Gold Coast QLD,$700 - $800 a day,"<div class=""jobsearch-JobComponent-description icl-u-xs-mt--md""><div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--location icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">Gold Coast QLD</span></div><div class=""jobsearch-JobMetadataHeader-itemWithIcon icl-u-textColor--secondary icl-u-xs-mt--xs""><div aria-label="""" class=""icl-IconFunctional icl-IconFunctional--salary icl-IconFunctional--md""><span class=""icl-IconFunctional-label""></span></div><span class=""jobsearch-JobMetadataHeader-iconLabel"">$700 - $800 a day</span></div></div><div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><ul><li><b>Positive team culture</b></li>
<li><b>Excellent architecture</b></li>
<li><b>Work &amp; lifestyle balance</b><br/>
</li>
</ul><b>About the Client and Role</b><br/>
<br/>
One of Australia's longest-running Artificial Intelligence companies has a requirement for a Java Lead in their Gold coast offices. This company rarely has a need to recruit due to its outstanding retention within its existing technology division. Based centrally on the Gold Coast this role is the perfect blend of Technology and lifestyle as far as the Gold Coast has to offer the Java community.<br/>
<br/>
<b>Experience</b><br/>
<br/>
The ideal candidate will have most of the following experience:<br/>
<ul><li>Strong design and development skills in Java</li>
<li>Experience with Spring, Hibernate, and Tomcat</li>
<li>Experience with build systems, ideally Maven and Salt</li>
<li>Understanding of SOA, message queueing and microservice architectures</li>
<li>Experience with cloud-based services, ideally AWS</li>
<li>Experience working in a Linux environment (RHEL/Centos desirable)</li>
<li>Experience Javascript frameworks, ideally AngularJS</li>
<li>Experience with Python</li>
<li>SQL and database administration – MSSQL and MariaDB/MySQL</li>
</ul><b>Desirable Skills:</b><br/>
<ul><li>Understanding of TCP/IP networking including TCP flow control</li>
<li>Community participation, including GitHub, StackOverflow, Meetup, etc.</li>
<li>iOS and Android mobile development experience</li>
<li>Experience leading and mentoring others</li>
<li>Strong written and spoken communication skills</li>
</ul><b>How to Apply</b><br/>
<br/>
If this is you, please apply below with your up-to-date CV (in <b>Word format</b>). All suitable applicants will be contacted for a discussion; please ensure you have relevant visa’s to work in Australia. For a confidential discussion, please contact <b>Julian Clauson</b> on <b>07 3193 3222</b>.<br/>
<br/>
#LI-JC<br/>
<br/>
<i>IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our PRIVACY POLICY.</i></div></div></div>",
